br br
pau pau
!pau pau
.pau pau
R pau
!sil sil
.sil sil
exh exh
!exh exh
.exh exh
axh axh
!axh axh
.axh axh
vf vf
!vf vf
.vf vf
cl cl
!cl cl
.cl cl
cs cs
!cs cs
.cs cs
cr cr
!cr cr
.cr cr
!ah ah
.ah ah
!aa aa
.aa aa
aa aa
!ao ao
.ao ao
ao ao
!ae ae
.ae ae
ae ae
!ax ax
.ax ax
ax ax
!iy iy
.iy iy
iy iy
!ih ih
.ih ih
ih ih
!uh uh
.uh uh
!uw uw
.uw uw
uw uw
!eh eh
.eh eh
!er er
.er er
!ay ay
.ay ay
!a a
.a a
!ey ey
.ey ey
ey ey
!e e
.e e
!oy oy
.oy oy
!aw aw
.aw aw
!ow ow
.ow ow
!o o
.o o
!p p
.p p
!b b
.b b
!t t
.t t
!d d
.d d
!k k
.k k
!g g
.g g
!s s
.s s
!z z
.z z
!ch ch
.ch ch
ch ch
!j j
.j j
!jh j
.jh j
!sh sh
.sh sh
sh sh
!zh zh
.zh zh
zh zh
!f f
.f f
!v v
.v v
!h h
.h h
!hh h
.hh h
!th th
.th th
th th
!dh dh
.dh dh
dh dh
!n n
.n n
!m m
.m m
!ng ng
.ng ng
ng ng
!w w
.w w
!y y
.y y
!r r
.r r
!l l
.l l
!q q
.q q
!el el
.el el
!em em
.em em
!en en
.en en
!eng ih ng
.eng ih ng
!ux uw
.ux uw
ux uw
!nx n
.nx n
nx n
!axr er
.axr er
axr er
!ix ax
.ix ax
ix ax
!hv hh
.hv hh
hv hh
!pcl p cl
!bcl b cl
!tcl t cl
!dcl d cl
!kcl k cl
!gcl g cl
.pcl p cl
.bcl b cl
.tcl t cl
.dcl d cl
.kcl k cl
.gcl g cl
pcl p cl
bcl b cl
tcl t cl
dcl d cl
kcl k cl
gcl g cl
!x x
.x x
a ax
a's  ey z
aaberg  aa b er g
aachen  aa k ax n
aachener  aa k ax n er
aah  aa
aaker  aa k er
aaliyah  ax l iy ax
aalseth  aa l s eh th
aamodt  aa m ax t
aancor  aa ng k ao r
aardema  aa r d eh m ax
aardvark  aa r d v aa r k
aardvarks  aa r d v aa r k s
aargh  aa r g
aarhus  aa hh uw s
aaron  eh r ax n
aaron's  eh r ax n z
aarons  eh r ax n z
aaronson  eh r ax n s ax n
aaronson's  eh r ax n s ax n z
aarti  aa r t iy
aase  aa s
aasen  aa s ax n
ab  ae b
ababa  ax b aa b ax
ababa(2)  aa b ax b ax
abacha  ae b ax k ax
aback  ax b ae k
abaco  ae b ax k ow
abacus  ae b ax k ax s
abad  ax b aa d
abadaka  ax b ae d ax k ax
abadi  ax b ae d iy
abadie  ax b ae d iy
abair  ax b eh r
abalkin  ax b aa l k ih n
abalone  ae b ax l ow n iy
abalones  ae b ax l ow n iy z
abalos  aa b aa l ow z
abandon  ax b ae n d ax n
abandoned  ax b ae n d ax n d
abandoning  ax b ae n d ax n ih ng
abandonment  ax b ae n d ax n m ax n t
abandonments  ax b ae n d ax n m ax n t s
abandons  ax b ae n d ax n z
abanto  ax b ae n t ow
abarca  ax b aa r k ax
abare  aa b aa r iy
abascal  ae b ax s k ax l
abash  ax b ae sh
abashed  ax b ae sh t
abasia  ax b ey zh y ax
abate  ax b ey t
abated  ax b ey t ih d
abatement  ax b ey t m ax n t
abatements  ax b ey t m ax n t s
abates  ax b ey t s
abating  ax b ey t ih ng
abattoir  ae b ax t w aa r
abba  ae b ax
abbado  ax b aa d ow
abbas  ax b aa s
abbasi  aa b aa s iy
abbate  aa b ey t
abbatiello  aa b aa t iy eh l ow
abbe  ae b iy
abbe(2)  ae b ey
abbenhaus  ae b ax n hh aw s
abbett  ax b eh t
abbeville  ae b v ih l
abbey  ae b iy
abbey's  ae b iy z
abbeys  ae b iy z
abbie  ae b iy
abbitt  ae b ih t
abbot  ae b ax t
abbotstown  ae b ax t s t aw n
abbott  ae b ax t
abbott's  ae b ax t s
abbottstown  ae b ax t s t aw n
abboud  ax b uw d
abboud(2)  ax b aw d
abbreviate  ax b r iy v iy ey t
abbreviate(2)  ax b r iy v iy ih t
