# note: fix inconsistency with [l / y] in ~100 words. some words should be <l y> in single syllable.
# note: fix inconsistency with [* / r] in ~100 words. some words should be <* r> in single syllable.

I                                            ay
I'd                                          ay d
I'll                                         ay l
I'm                                          ay m
I've                                         ay v
aah                                          aa
aardvark                                     aa r d / v aa r k
aardvarks                                    aa r d / v aa r k s
aback                                        ax / b ae k
abacus                                       ae / b ax / k ax s
abacuses                                     ae / b ax / k ax s
abaft                                        ax / b ae f t
abalone                                      ae / b ax / l ow / n iy
abandon                                      ax / b ae n / d ax n
abandonment                                  ax / b ae n / d ax n / m ax n t
abase                                        ax / b ey s
abasement                                    ax / b ey s / m ax n t
abash                                        ax / b ae sh
abate                                        ax / b ey t
abatement                                    ax / b ey t / m ax n t
abattoir                                     ae / b ax / t w aa r
abbess                                       ae / b eh s
abbesses                                     ae / b eh s
abbey                                        ae / b iy
abbot                                        ae / b ax t
abbreviate                                   ax / b r iy / v iy / ey t
abbreviation                                 ax / b r iy / v iy / ey / sh ax n
abc                                          ey / b iy / s iy
abcs                                         ey / b iy / s iy z
abdicate                                     ae b / d ax / k ey t
abdication                                   ae b / d ax / k ey / sh ax n
abdomen                                      ae b / d ax / m ax n
abdominal                                    ae b / d aa / m ax / n ax l
abdominals                                   ae b / d aa / m ax / n ax l z
abduct                                       ae b / d ah k t
abduction                                    ae b / d ah k / sh ax n
abductor                                     ae b / d ah k / t er
aberdeen                                     ae / b er / d iy n
aberdeenshire                                ae / b er / d iy n / sh er
aberdonian                                   ae / b er / d ow / n iy / ax n
aberrant                                     ax / b eh / r ax n t
aberration                                   ae / b ax / r ey / sh ax n
abet                                         ax / b eh t
abetment                                     ax / b eh t / m ax n t
abettor                                      ax / b eh / dx er
abeyance                                     ax / b ey / ax n s
abhor                                        ae b / hh ao r
abhorrence                                   ae b / hh ao / r ax n s
abhorrent                                    ae b / hh ao / r ax n t
abide                                        ax / b ay d
abiding                                      ax / b ay / d ih ng
abidingly                                    ax / b ay / d ih ng / l iy
abidjan                                      ae / b iy / d zh aa n
ability                                      ax / b ih / l ax / dx iy
abiotic                                      ey / b ay / aa / dx ih k
abject                                       ae b / d zh eh k t
abjectly                                     ae b / d zh eh k t / l iy
abjure                                       ax b / d zh uh r
ablate                                       ax / b l ey t
ablation                                     ae b / l ey / sh ax n
ablative                                     ae b / l ax / dx ih v
ablaze                                       ax / b l ey z
able                                         ey / b ax l
ablution                                     ax / b l uw / sh ax n
ably                                         ey / b l iy
abnegate                                     ae b / n ax / g ey t
abnegation                                   ae b / n ax / g ey / sh ax n
abnormal                                     ae b / n ao r / m ax l
abnormality                                  ae b / n ao r / m ae / l ax / dx iy
abnormally                                   ae b / n ao r / m ax / l iy
abo                                          ae / b ow
aboard                                       ax / b ao r d
abode                                        ax / b ow d
abolish                                      ax / b aa / l ih sh
abolition                                    ae / b ax / l ih / sh ax n
abolitionist                                 ae / b ax / l ih / sh ax / n ih s t
abominable                                   ax / b aa / m ax / n ax / b ax l
abominably                                   ax / b aa / m ax / n ax / b l iy
abominate                                    ax / b aa / m ax / n ey t
