# note: fix inconsistency with [l / j] in ~100 words. some words should be <lj> in single syllable.
# note: fix inconsistency with [C / r] in ~100 words. some words should be <Cr> in single syllable.

I                                            aɪ
I'd                                          aɪd
I'll                                         aɪl
I'm                                          aɪm
I've                                         aɪv
aah                                          ɑ
aardvark                                     ɑrd / vɑrk
aardvarks                                    ɑrd / vɑrks
aback                                        ə / bæk
abacus                                       æ / bə / kəs
abacuses                                     æ / bə / kəs
abaft                                        ə / bæft
abalone                                      æ / bə / loʊ / ni
abandon                                      ə / bæn / dən
abandonment                                  ə / bæn / dən / mənt
abase                                        ə / beɪs
abasement                                    ə / beɪs / mənt
abash                                        ə / bæʃ
abate                                        ə / beɪt
abatement                                    ə / beɪt / mənt
abattoir                                     æ / bə / twɑr
abbess                                       æ / bes
abbesses                                     æ / bes
abbey                                        æ / bi
abbot                                        æ / bət
abbreviate                                   ə / bri / vi / eɪt
abbreviation                                 ə / bri / vi / eɪ / ʃən
abc                                          eɪ / bi / si
abcs                                         eɪ / bi / siz
abdicate                                     æb / də / keɪt
abdication                                   æb / də / keɪ / ʃən
abdomen                                      æb / də / mən
abdominal                                    æb / dɑ / mə / nəl
abdominals                                   æb / dɑ / mə / nəlz
abduct                                       æb / dʌkt
abduction                                    æb / dʌk / ʃən
abductor                                     æb / dʌk / tɚ
aberdeen                                     æ / bɚ / din
aberdeenshire                                æ / bɚ / din / ʃɚ
aberdonian                                   æ / bɚ / doʊ / ni / ən
aberrant                                     ə / be / rənt
aberration                                   æ / bə / reɪ / ʃən
abet                                         ə / bet
abetment                                     ə / bet / mənt
abettor                                      ə / be / t̬ɚ
abeyance                                     ə / beɪ / əns
abhor                                        æb / hɔr
abhorrence                                   æb / hɔ / rəns
abhorrent                                    æb / hɔ / rənt
abide                                        ə / baɪd
abiding                                      ə / baɪ / dɪŋ
abidingly                                    ə / baɪ / dɪŋ / li
abidjan                                      æ / bi / dʒɑn
ability                                      ə / bɪ / lə / t̬i
abiotic                                      eɪ / baɪ / ɑ / t̬ɪk
abject                                       æb / dʒekt
abjectly                                     æb / dʒekt / li
abjure                                       əb / dʒʊr
ablate                                       ə / bleɪt
ablation                                     æb / leɪ / ʃən
ablative                                     æb / lə / t̬ɪv
ablaze                                       ə / bleɪz
able                                         eɪ / bəl
ablution                                     ə / blu / ʃən
ably                                         eɪ / bli
abnegate                                     æb / nə / ɡeɪt
abnegation                                   æb / nə / ɡeɪ / ʃən
abnormal                                     æb / nɔr / məl
abnormality                                  æb / nɔr / mæ / lə / t̬i
abnormally                                   æb / nɔr / mə / li
abo                                          æ / boʊ
aboard                                       ə / bɔrd
abode                                        ə / boʊd
abolish                                      ə / bɑ / lɪʃ
abolition                                    æ / bə / lɪ / ʃən
abolitionist                                 æ / bə / lɪ / ʃə / nɪst
abominable                                   ə / bɑ / mə / nə / bəl
abominably                                   ə / bɑ / mə / nə / bli
abominate                                    ə / bɑ / mə / neɪt
abomination                                  ə / bɑ / mə / neɪ / ʃən
aboriginal                                   æ / bə / rɪ / dʒə / nəl
aborigine                                    æ / bə / rɪ / dʒə / ni
abort                                        ə / bɔrt
abortion                                     ə / bɔr / ʃən
abortionist                                  ə / bɔr / ʃə / nɪst
abortive                                     ə / bɔr / t̬ɪv
abound                                       ə / baʊnd
about                                        ə / baʊt
above                                        ə / bʌv
aboveboard                                   ə / bʌv / bɔrd
abracadabra                                  æb / rə / kə / dæb / rə
abrade                                       ə / breɪd
abrahamic                                    eɪ / brə / hæ / mɪk
abrasion                                     ə / breɪ / ʒən
abrasive                                     ə / breɪ / sɪv
abrasively                                   ə / breɪ / sɪv / li
abrasiveness                                 ə / breɪ / sɪv / nəs
abreast                                      ə / brest
abridge                                      ə / brɪdʒ
abridgement                                  ə / brɪdʒ / mənt
abridgment                                   ə / brɪdʒ / mənt
abroad                                       ə / brɑd
abrogate                                     æb / rə / ɡeɪt
abrogation                                   æb / rə / ɡeɪ / ʃən
abrupt                                       ə / brʌpt
abruptly                                     ə / brʌpt / li
abruptness                                   ə / brʌpt / nəs
abs                                          æbz
abscess                                      æb / ses
abscesses                                    æb / ses
abscissa                                     æb / sɪ / sə
abscission                                   æb / sɪ / ʃən
abscond                                      æb / skɑnd
absconder                                    æb / skɑn / dɚ
abseil                                       æb / seɪl
abseiling                                    æb / seɪ / lɪŋ
absence                                      æb / səns
absences                                     æb / səns
absent                                       æb / sənt
absentee                                     æb / sən / ti
absenteeism                                  æb / sən / ti / ɪ / zəm
absently                                     æb / sənt / li
absinth                                      æb / sæ̃θ
absinthe                                     æb / sæ̃θ
absolute                                     æb / sə / lut
absolutely                                   æb / sə / lut / li
absolution                                   æb / sə / lu / ʃən
absolutism                                   æb / sə / lu / t̬ɪ / zəm
absolve                                      əb / zɑlv
absorb                                       əb / zɔrb
absorbency                                   əb / zɔr / bən / si
absorbent                                    əb / zɔr / bənt
absorbing                                    əb / zɔr / bɪŋ
absorption                                   əb / zɔrp / ʃən
absorptive                                   əb / zɔrp / tɪv
absquatulate                                 əb / skwɑ / tʃʊ / leɪt
abstain                                      æb / steɪn
abstainer                                    æb / steɪ / nɚ
abstemious                                   æb / sti / mi / əs
abstemiously                                 æb / sti / mi / əs / li
abstention                                   æb / sten / ʃən
abstinence                                   æb / stə / nəns
abstinent                                    æb / stə / nənt
abstract                                     æb / strækt
abstractedly                                 æb / stræk / tɪd / li
abstraction                                  æb / stræk / ʃən
abstractly                                   æb / strækt / li
abstruse                                     æb / strus
absurd                                       əb / sɝd
absurdity                                    əb / sɝ / də / t̬i
absurdly                                     əb / sɝd / li
abu                                          ɑ / bu / dɑ / bi
abundance                                    ə / bʌn / dəns
abundances                                   ə / bʌn / dəns
abundant                                     ə / bʌn / dənt
abundantly                                   ə / bʌn / dənt / li
abuse                                        ə / bjuz
abuser                                       ə / bju / zɚ
abuses                                       ə / bjuz
abusive                                      ə / bju / sɪv
abut                                         ə / bʌt
abutment                                     ə / bʌt / mənt
abuzz                                        ə / bʌz
abysmal                                      ə / bɪz / məl
abysmally                                    ə / bɪz / mə / li
abyss                                        ə / bɪs
abyssal                                      ə / bɪ / səl
abysses                                      ə / bɪs
ac                                           eɪ / si
acacia                                       ə / keɪ / ʃə
academe                                      æ / kə / dim
academia                                     æ / kə / di / mi / ə
academic                                     æ / kə / de / mɪk
academically                                 æ / kə / de / mɪ / kə / li
academician                                  ə / kæ / də / mɪ / ʃən
academics                                    æ / kə / de / mɪks
academy                                      ə / kæ / də / mi
accede                                       ək / sid
accelerant                                   ək / se / lɚ / ənt
accelerate                                   ək / se / lɚ / eɪt
acceleration                                 ək / se / lə / reɪ / ʃən
accelerator                                  ək / se / lɚ / eɪ / t̬ɚ
accelerometer                                ək / se / lə / rɑ / mə / t̬ɚ
accent                                       æk / sənt
accentuate                                   ək / sen / tʃu / eɪt
accentuation                                 ək / sen / tʃu / eɪ / ʃən
accept                                       ək / sept
acceptability                                ək / sep / tə / bɪ / lə / t̬i
acceptable                                   ək / sep / tə / bəl
acceptance                                   ək / sep / təns
acceptances                                  ək / sep / təns
accepter                                     ək / sep / tɚ
accepting                                    ək / sep / tɪŋ
acceptor                                     ək / sep / tɚ
access                                       æk / ses
accesses                                     æk / ses
accessibility                                ək / se / sə / bɪ / lə / t̬i
accessible                                   ək / se / sə / bəl
accession                                    ək / se / ʃən
accessorise                                  ək / se / sɚ / aɪz
accessorius                                  æk / se / sɔ / ri / əs
accessorize                                  ək / se / sɚ / aɪz
accessory                                    ək / se / sɚ / i
accident                                     æk / sə / dənt
accidental                                   æk / sə / den / t̬əl
accidentally                                 æk / sə / den / t̬ə / li
acclaim                                      ə / kleɪm
acclamation                                  æk / lə / meɪ / ʃən
acclimate                                    æk / lə / meɪt
acclimatisation                              ə / klaɪ / mə / t̬ə / zeɪ / ʃən
acclimatise                                  ə / klaɪ / mə / t̬aɪz
acclimatization                              ə / klaɪ / mə / t̬ə / zeɪ / ʃən
acclimatize                                  ə / klaɪ / mə / t̬aɪz
acclimatizes                                 ə / klaɪ / mə / t̬aɪz
acclivity                                    ə / klɪ / və / t̬i
accolade                                     æ / kə / leɪd
accommodate                                  ə / kɑ / mə / deɪt
accommodating                                ə / kɑ / mə / deɪ / t̬ɪŋ
accommodation                                ə / kɑ / mə / deɪ / ʃən
accommodations                               ə / kɑ / mə / deɪ / ʃənz
accompaniment                                ə / kʌm / pə / nɪ / mənt
accompanist                                  ə / kʌm / pə / nɪst
accompany                                    ə / kʌm / pə / ni
accompanying                                 ə / kʌm / pə / ni / ɪŋ
accomplice                                   ə / kɑm / plɪs
accomplices                                  ə / kɑm / plɪs
accomplish                                   ə / kɑm / plɪʃ
accomplishment                               ə / kɑm / plɪʃ / mənt
accord                                       ə / kɔrd
accordance                                   ə / kɔr / dəns
accordances                                  ə / kɔr / dəns
accordingly                                  ə / kɔr / dɪŋ / li
accordion                                    ə / kɔr / di / ən
accost                                       ə / kɑst
account                                      ə / kaʊnt
accountability                               ə / kaʊn / t̬ə / bɪ / lə / t̬i
accountable                                  ə / kaʊn / t̬ə / bəl
accountancy                                  ə / kaʊn / t̬ən / si
accountant                                   ə / kaʊn / t̬ənt
accounting                                   ə / kaʊn / t̬ɪŋ
accounts                                     ə / kaʊnts
accouterments                                ə / ku / t̬ɚ / mənts
accoutrements                                ə / ku / t̬ɚ / mənts
accra                                        ə / krɑ
accredit                                     ə / kre / dɪt
accreditation                                ə / kre / də / teɪ / ʃən
accrete                                      ə / krit
accretion                                    ə / kri / ʃən
accrual                                      ə / kru / əl
accrue                                       ə / kru
acculturate                                  ə / kʌl / tʃə / reɪt
acculturation                                ə / kʌl / tʃə / reɪ / ʃən
accumulate                                   ə / kju / mjə / leɪt
accumulation                                 ə / kju / mjə / leɪ / ʃən
accumulative                                 ə / kju / mjə / lə / t̬ɪv
accumulator                                  ə / kju / mjə / leɪ / t̬ɚ
accuracy                                     æk / jɚ / ə / si
accurate                                     æk / jɚ / ət
accurately                                   æk / jɚ / ət / li
accusation                                   æk / jə / zeɪ / ʃən
accusative                                   ə / kju / zə / t̬ɪv
accusatory                                   ə / kju / zə / tɔ / ri
accuse                                       ə / kjuz
accuser                                      ə / kju / zɚ
accuses                                      ə / kjuz
accusing                                     ə / kju / zɪŋ
accusingly                                   ə / kju / zɪŋ / li
accustom                                     ə / kʌ·stəm
ace                                          eɪs
acephalous                                   eɪ / se / fə / ləs
acer                                         eɪ / sɚ
acerbic                                      ə / sɝ / bɪk
acerbity                                     ə / sɝ / bə / t̬i
aces                                         eɪs
acetabular                                   æ / sɪ / tæb / jə / lɚ
acetabulum                                   æ / sə / tæb / jə / ləm
acetaminophen                                ə / si / t̬ə / mɪ / nə / fen
acetate                                      æ / sə / teɪt
acetone                                      æ / sə / t̬oʊn
acetylene                                    ə / se / t̬ə / lin
achalasia                                    æ / kə / leɪ / ʒə
ache                                         eɪk
achievable                                   ə / tʃi / və / bəl
achieve                                      ə / tʃiv
achievement                                  ə / tʃiv / mənt
achiever                                     ə / tʃi / vɚ
achingly                                     eɪ / kɪŋ / li
achkan                                       ætʃ / kən
achoo                                        ə / tʃu
achy                                         eɪ / ki
acid                                         æ / sɪd
acidic                                       ə / sɪ / dɪk
acidification                                ə / sɪ / dɪ / fɪ / keɪ / ʃən
acidify                                      ə / sɪ / də / faɪ
acidity                                      ə / sɪ / də / t̬i
acidly                                       æ / sɪd / li
acidophilus                                  æ / sə / dɑ / fə / ləs
acidulous                                    ə / sɪ / dʒə / ləs
ackee                                        æ / ki
acknowledge                                  ək / nɑ / lɪdʒ
acknowledgment                               ək / nɑ / lɪdʒ / mənt
acme                                         æk / mi
acne                                         æk / ni
acolyte                                      æ / kə / laɪt
acorn                                        eɪ / kɔrn
acoustic                                     ə / ku / stɪk
acoustically                                 ə / ku / stɪ / kə / li
acoustics                                    ə / ku / stɪks
acquaint                                     ə / kweɪnt
acquaintance                                 ə / kweɪn / təns
acquaintances                                ə / kweɪn / təns
acquaintanceship                             ə / kweɪn / təns / ʃɪp
acquiesce                                    æk / wi / es
acquiescence                                 æk / wi / e / səns
acquiescent                                  æk / wi / e / sənt
acquiesces                                   æk / wi / es
acquire                                      ə / kwaɪɚ
acquirer                                     ə / kwaɪ / rɚ
acquisition                                  æk / wə / zɪ / ʃən
acquisitive                                  ə / kwɪ / zə / t̬ɪv
acquisitiveness                              ə / kwɪ / zə / t̬ɪv / nəs
acquit                                       ə / kwɪt
acquittal                                    ə / kwɪ / t̬əl
acre                                         eɪ / kɚ
acreage                                      eɪ / kɚ / ɪdʒ
acrid                                        æk / rɪd
acrimonious                                  æk / rə / moʊ / ni / əs
acrimoniously                                æk / rə / moʊ / ni / əs / li
acrimony                                     æk / rə / moʊ / ni
acrobat                                      æk / rə / bæt
acrobatic                                    æk / rə / bæ / t̬ɪk
acrobatics                                   æk / rə / bæ / t̬ɪks
acrolein                                     ə / kroʊ / li / ɪn
acromial                                     ə / kroʊ / mi / əl
acromioclavicular                            ə / kroʊ / mi / oʊ / klə / vɪk / jə / lɚ
acromion                                     ə / kroʊ / mi / ən
acronym                                      æk / rə / nɪm
acrophobia                                   æk / rə / foʊ / bi / ə
acropolis                                    ə / krɑ / pə / lɪs
acropolises                                  ə / krɑ / pə / lɪs
across                                       ə / krɑs
acrostic                                     ə / krɑ / stɪk
acrylic                                      ə / krɪ / lɪk
act                                          ækt
acting                                       æk / tɪŋ
actinium                                     æk / tɪ / ni / əm
action                                       æk / ʃən
actionable                                   æk / ʃə / nə / bəl
actioner                                     æk / ʃə / nɚ
activate                                     æk / tə / veɪt
activation                                   æk / tə / veɪ / ʃən
active                                       æk / tɪv
actively                                     æk / tɪv / li
activism                                     æk·tə / vɪ / zəm
activist                                     æk / tə / vɪst
activity                                     æk / tɪ / və / t̬i
actor                                        æk / tɚ
actress                                      æk / trəs
actual                                       æk / tʃu / əl
actualise                                    æk / tʃu / ə / laɪz
actuality                                    æk / tʃu / æ / lə / t̬i
actualize                                    æk / tʃu / ə / laɪz
actualizes                                   æk / tʃu / ə / laɪz
actually                                     æk / tʃu / ə / li
actuarial                                    æk / tʃu / e / ri / əl
actuary                                      æk / tʃu / e / ri
actuate                                      æk / tʃu / eɪt
actuation                                    æk / tʃu / eɪ / ʃən
actuator                                     æk / tʃu / eɪ / t̬ɚ
acuity                                       ə / kju / ə / t̬i
acumen                                       ə / kju / mən
acupressure                                  æk / jə / pre / ʃɚ
acupuncture                                  æk / jə / pʌŋk / tʃɚ
acupuncturist                                æk / jə / pʌŋk / tʃɚ / ɪst
acute                                        ə / kjut
acutely                                      ə / kjut / li
acuteness                                    ə / kjut / nəs
ad                                           æd
adage                                        æ / dɪdʒ
adagio                                       ə / dɑ / dʒi / oʊ
adam                                         æ / dəm
adamant                                      æ / də / mənt
adamantine                                   æ / də / mæn / taɪn
adamantly                                    æ / də / mənt / li
adapt                                        ə / dæpt
adaptability                                 ə / dæp / tə / bɪ / lə / t̬i
adaptable                                    ə / dæp / tə / bəl
adaptation                                   æ / dəp / teɪ / ʃən
adapter                                      ə / dæp / tɚ
adaption                                     æ / dəp / teɪ / ʃən
adaptive                                     ə / dæp / tɪv
adaptively                                   ə / dæp / tɪv / li
adaptiveness                                 ə / dæp / tɪv / nəs
adaptor                                      ə / dæp / tɚ
adc                                          eɪ / di / si
add                                          æd
addendum                                     ə / den / dəm
adder                                        æ / dɚ
addict                                       æ / dɪkt
addiction                                    ə / dɪk / ʃən
addictive                                    ə / dɪk / tɪv
addictiveness                                ə / dɪk / tɪv / nəs
addition                                     ə / dɪ / ʃən
additional                                   ə / dɪ / ʃə / nəl
additionally                                 ə / dɪ / ʃə / nə / li
additive                                     æ / də / t̬ɪv
addle                                        æ / dəl
address                                      æd / res
addressee                                    æd / re / si
addresses                                    æd / res
adduce                                       ə / dus
adduces                                      ə / dus
adduct                                       ə / dʌkt
adduction                                    ə / dʌk / ʃən
adductor                                     ə / dʌk / tɚ
addy                                         æ / di
adenine                                      æ / də / nin
adenoid                                      æ / də / nɔɪd
adenoidal                                    æ / də / nɔɪ / dəl
adenovirus                                   æ / dɪ / noʊ / vaɪ / rəs
adept                                        ə / dept
adeptly                                      ə / dept / li
adequacy                                     æ / də / kwə / si
adequate                                     æ / də / kwət
adequately                                   æ / də / kwət / li
adhere                                       əd / hɪr
adherence                                    əd / hɪ / rəns
adherent                                     əd / hɪ / rənt
adhesion                                     əd / hi / ʒən
adhesive                                     əd / hi / sɪv
adiabatic                                    æ / di / ə / bæ / t̬ɪk
adieu                                        ə / du
adios                                        æ / di / oʊs
adipose                                      æ / də / poʊs
adjacency                                    ə / dʒeɪ / sən / si
adjacent                                     ə / dʒeɪ / sənt
adjectival                                   æ / dʒek / taɪ / vəl
adjectivally                                 æ / dʒek / taɪ / və / li
adjective                                    æ / dʒek / tɪv
adjoin                                       ə / dʒɔɪn
adjoining                                    ə / dʒɔɪ / nɪŋ
adjourn                                      ə / dʒɝn
adjournment                                  ə / dʒɝn / mənt
adjudge                                      ə / dʒʌdʒ
adjudicate                                   ə / dʒu / də / keɪt
adjudication                                 ə / dʒu / də / keɪ / ʃən
adjudicator                                  ə / dʒu / də / keɪ / t̬ɚ
adjunct                                      æ / dʒʌŋkt
adjure                                       ə / dʒʊr
adjust                                       ə / dʒʌst
adjustable                                   ə / dʒʌs / tə / bəl
adjustment                                   ə / dʒʌst / mənt
adjutant                                     æ / dʒə / tənt
adjuvant                                     æ / dʒə / vənt
adman                                        æd / mæn
admen                                        æd / mæn
administer                                   əd / mɪ / nə / stɚ
administration                               əd / mɪ / nə / streɪ / ʃən
administrative                               əd / mɪ / nə / strə / t̬ɪv
administratively                             əd / mɪ / nə / strə / t̬ɪv / li
administrator                                əd / mɪ / nə / streɪ / t̬ɚ
admirable                                    æd / mə / rə / bəl
admirably                                    æd / mə / rə / bli
admiral                                      æd / mɚ / əl
admiralty                                    æd / mɚ / əl / ti
admiration                                   æd / mə / reɪ / ʃən
admire                                       əd / maɪr
admirer                                      əd / maɪ / rɚ
admiring                                     əd / maɪ / rɪŋ
admiringly                                   əd / maɪ / rɪŋ / li
admissibility                                əd / mɪ / sə / bɪ / lə / t̬i
admissible                                   əd / mɪ / sə / bəl
admission                                    əd / mɪ / ʃən
admissions                                   əd / mɪ / ʃənz
admit                                        əd / mɪt
admittance                                   əd / mɪ / t̬əns
admittedly                                   əd / mɪ / t̬ɪd / li
admixture                                    əd / mɪks / tʃɚ
admonish                                     əd / mɑ / nɪʃ
admonishment                                 əd / mɑ / nɪʃ
admonition                                   æd / mə / nɪ / ʃən
admonitory                                   əd / mɑ / nə / tɔ / ri
adnexal                                      æd / nek / səl
ado                                          ə / du
adobe                                        ə / doʊ / bi
adolescence                                  æ / də / le / səns
adolescent                                   æ / də / le / sənt
adonis                                       ə / dɑ / nɪs
adonises                                     ə / dɑ / nɪs
adopt                                        ə / dɑpt
adoptable                                    ə / dɑp / tə / bəl
adoptee                                      ə / dɑp / ti
adoption                                     ə / dɑp / ʃən
adoptive                                     ə / dɑp / tɪv
adorable                                     ə / dɔ / rə / bəl
adoration                                    æ / də / reɪ / ʃən
adore                                        ə / dɔr
adoring                                      ə / dɔ / rɪŋ
adoringly                                    ə / dɔ / rɪŋ / li
adorn                                        ə / dɔrn
adornment                                    ə / dɔrn / mənt
adrenal                                      ə / dri / nəl
adrenalectomy                                ə / dri / nə / lek / tə / mi
adrenalin                                    ə / dre / nə / lɪn
adrenaline                                   ə / dre / nə / lən
adrenocortical                               ə / dri / noʊ / kɔr / t̬ə / kəl
adrift                                       ə / drɪft
adroit                                       ə / drɔɪt
adroitly                                     ə / drɔɪt / li
adroitness                                   ə / drɔɪt / nəs
adsorb                                       æd / zɔb
adsorbent                                    æd / zɔ / bənt
adsorption                                   æd / zɔpʃən
adulate                                      æ / dʒə / leɪt
adulation                                    æ / dʒə / leɪ / ʃən
adulatory                                    æ / dʒə / lə / tɔ / ri
adult                                        æ / dʌlt
adulterate                                   ə / dʌl / tə / reɪt
adulteration                                 ə / dʌl / tə / reɪ / ʃən
adulterer                                    ə / dʌl / tɚ / ɚ
adulteress                                   ə / dʌl / tɚ / əs
adulteresses                                 ə / dʌl / tɚ / əs
adulterous                                   ə / dʌl / tɚ / əs
adultery                                     ə / dʌl / tɚ / i
adulthood                                    æ / dʌlt / hʊd
adumbrate                                    æ / dəm / breɪt
adumbration                                  æ / dəm / breɪ / ʃən
advance                                      əd / væns
advancement                                  əd / væns / mənt
advancer                                     əd / vænsɚ
advances                                     əd / væns
advancing                                    əd / væn / sɪŋ
advantage                                    əd / væn / t̬ɪdʒ
advantageous                                 æd / væn / teɪ / dʒəs
advantageously                               æd / væn / teɪ / dʒəs / li
advection                                    əd / vek / ʃən
advent                                       æd / vent
adventist                                    æd / ven / tɪst
adventitious                                 æd / vən / tɪ / ʃəs
adventitiously                               æd / vən / tɪ / ʃəs / li
adventure                                    əd / ven / tʃɚ
adventurer                                   əd / ven / tʃɚ / ɚ
adventuresome                                əd / ven / tʃɚ / əs
adventurous                                  əd / ven / tʃɚ / əs
adventurously                                əd / ven / tʃɚ / əs / li
adverb                                       æd / vɝb
adverbial                                    əd / vɝ / bi / əl
adversarial                                  æd / vɚ / se / ri / əl
adversary                                    æd / vɚ / se / ri
adverse                                      æd / vɝs
adversely                                    æd / vɝs / li
adversity                                    əd / vɝ / sə / t̬i
advert                                       æd / vɝt
advertent                                    əd / vɝ / tənt
advertise                                    æd / vɚ / taɪz
advertisement                                æd / vɝ / taɪz / mənt
advertiser                                   æd / vɚ / taɪ / zɚ
advertises                                   æd / vɚ / taɪz
advertising                                  æd / vɚ / taɪ / zɪŋ
advertorial                                  æd / və / tɔ / ri / əl
advice                                       əd / vaɪs
advisability                                 əd / vaɪ / zə / bɪ / lə / t̬i
advisable                                    əd / vaɪ / zə / bəl
advise                                       əd / vaɪz
advisedly                                    əd / vaɪ / zɪd / li
advisement                                   əd / vaɪz / mənt
adviser                                      əd / vaɪ / zɚ
advises                                      əd / vaɪz
advisory                                     əd / vaɪ / zɚ / i
advocacy                                     æd / və / kə / si
advocate                                     æd / və / keɪt
adz                                          ædz
adze                                         ædz
adzes                                        ædz
aegean                                       ɪ / dʒi / ən
aegis                                        i / dʒɪs
aeolian                                      i / oʊ / li / ən
aeon                                         i / ɑn
aerate                                       e / reɪt
aeration                                     e / reɪ / ʃən
aerator                                      e / reɪ / t̬ɚ
aerial                                       e / ri / əl
aerie                                        ɪ / ri
